 Date,Time,From,Time,To,Fare,Credit,Balance
 28/Aug/2023,17:55 PM,James Street - 6 ,18:10 PM,Cultural Centre Platform 3 ,$1.78,,$13.75
 28/Aug/2023,20:25 PM,Adelaide St app Hutton L (Stop 28) ,20:29 PM,Light Street - 7 ,$1.42,,$12.33
 29/Aug/2023,9:45:00 AM,James Street - 6 ,9:52:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.42,,$10.91
 29/Aug/2023,14:20 PM,Adelaide St at City Hall (Stop 20) ,14:30 PM,Light Street - 7 ,$1.42,,$9.49
 30/Aug/2023,7:17:00 AM,James Street - 6 ,7:25:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$7.71
 30/Aug/2023,16:42 PM,Adelaide St at City Hall (Stop 20) ,16:50 PM,Light Street - 7 ,$1.78,,$5.93
 31/Aug/2023,7:16:00 AM,James Street - 6 ,7:23:00 AM,Adelaide St opp City Hall (Stop 43) ,$0.89,,$5.04
 31/Aug/2023,17:01 PM,Adelaide St at City Hall (Stop 20) ,17:11 PM,Light Street - 7 ,$0.89,,$4.15
 01/Sep/2023,7:09:00 AM,Auto top up(James Street - 6 ),,,,$20.00,$24.15
 01/Sep/2023,7:09:00 AM,James Street - 6 ,7:17:00 AM,Adelaide St opp City Hall (Stop 43) ,$0.89,,$23.26
 01/Sep/2023,13:08 PM,Adelaide St app Hutton L (Stop 28) ,13:14 PM,Light Street - 7 ,$0.71,,$22.55
 02/Sep/2023,9:11:00 AM,James Street - 6 ,9:31:00 AM,Donkin Street - 7 ,$0.71,,$21.84
 02/Sep/2023,10:12:00 AM,Donkin Street - 7 (Touch on Transfer),10:30:00 AM,Light Street - 7 ,$0.00,,$21.84
 02/Sep/2023,20:34 PM,Mollison Street - 5 ,21:02 PM,Light Street - 7 ,$0.71,,$21.13
 03/Sep/2023,12:59:00 PM,James Street - 6 ,13:05 PM,Adelaide St opp City Hall (Stop 43) ,$0.71,,$20.42
 03/Sep/2023,16:55 PM,Adelaide St at City Hall (Stop 20) ,17:04 PM,Light Street - 7 ,$0.71,,$19.71
 04/Sep/2023,7:13:00 AM,James Street - 6 ,7:21:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$17.93
 04/Sep/2023,12:51:00 PM,Adelaide St at City Hall (Stop 20) ,13:01 PM,Light Street - 7 ,$1.42,,$16.51
 05/Sep/2023,8:50:00 AM,James Street - 6 ,9:03:00 AM,Adelaide St app George St (Stop 47) ,$1.42,,$15.09
 05/Sep/2023,16:16 PM,Adelaide St at City Hall (Stop 20) ,16:30 PM,Light Street - 7 ,$1.78,,$13.31
 06/Sep/2023,7:41:00 AM,James Street - 6 ,7:52:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$11.53
